key,Con,型番,t,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,3.3(R),3.4(R),3.5(R),3.6(R)
QL99-75-10_Fc18t70,Fc18,QL99-75-10,70,,,,,,,,12510,11060,10650,10210,9340,8560,7850,7200,6620,6080,5590,,,,,,,,,
QL99-75-10_Fc18t80,Fc18,QL99-75-10,80,,,,,,,,12360,11880,11440,11030,10410,9540,8750,8040,7390,6800,6250,,,,,,,,,
QL99-75-10_Fc18t90,Fc18,QL99-75-10,90,,,,,,,,13170,12660,12200,11760,11350,10650,9780,8980,8260,7610,,,,,,,,,,
QL99-75-10_Fc18t100,Fc18,QL99-75-10,100,,,,,,,,13880,13350,12860,12400,11970,11570,10800,9930,9140,8420,,,,,,,,,,
QL99-75-12_Fc18t60,Fc18,QL99-75-12,60,,,,,,,,12920,12430,11970,11030,10110,9290,8550,7870,7250,6720,6210,5730,5300,4900,4530,,,,,
QL99-75-12_Fc18t70,Fc18,QL99-75-12,70,,,,,,,,13720,13190,12700,12250,11370,10450,9610,8860,8200,7570,6990,6470,5980,5530,,,,,,
QL99-75-12_Fc18t80,Fc18,QL99-75-12,80,,,,,,,,14670,14110,13580,13100,12650,11790,10860,10040,9270,8570,7920,7330,6790,,,,,,,
QL99-75-12_Fc18t90,Fc18,QL99-75-12,90,,,,,,,,15660,15050,14500,13980,13500,13500,12110,11200,10350,9570,8850,8200,,,,,,,,
QL99-75-12_Fc18t100,Fc18,QL99-75-12,100,,,,,,,,16580,15940,15350,14800,14290,13810,13370,12360,11420,10570,9780,9070,,,,,,,,
QL99-75-16_Fc18t60,Fc18,QL99-75-16,60,,,,,,,,15950,14750,13680,12720,11860,11080,10370,9740,9150,8620,8140,7690,7280,6780,6310,5880,,,,
QL99-75-16_Fc18t70,Fc18,QL99-75-16,70,,,,,,,,18130,16760,15540,14450,13470,12590,11790,11060,10400,9800,9250,8740,8270,7740,7210,6730,,,,
QL99-75-16_Fc18t80,Fc18,QL99-75-16,80,,,,,,,,19450,18710,17570,16340,15230,14230,13330,12510,11760,11080,10460,9880,9360,8840,8250,7700,,,,
QL99-75-16_Fc18t90,Fc18,QL99-75-16,90,,,,,,,,20000,19840,19110,18350,17110,15990,14970,14050,13210,12450,11750,11100,10510,9870,9210,8600,,,,
QL99-75-16_Fc18t100,Fc18,QL99-75-16,100,,,,,,,,20000,20000,20000,19600,18930,17850,16710,15690,14750,13890,13110,12390,11730,11000,10270,9600,,,,
QL99-75-10_Fc21t60,Fc21,QL99-75-10,60,,,,,,,,11700,10900,9930,9060,8290,7580,6950,6370,5850,5370,4930,4530,,,,,,,,
QL99-75-10_Fc21t70,Fc21,QL99-75-10,70,,,,,,,,12470,11990,11210,10240,9360,8570,7860,7210,6630,6090,5600,,,,,,,,,
QL99-75-10_Fc21t80,Fc21,QL99-75-10,80,,,,,,,,13300,12790,12320,11460,10490,9610,8820,8100,7450,6850,6300,,,,,,,,,
QL99-75-10_Fc21t90,Fc21,QL99-75-10,90,,,,,,,,14180,13630,13130,12660,11670,10700,9820,9020,8300,7640,7030,,,,,,,,,
QL99-75-10_Fc21t100,Fc21,QL99-75-10,100,,,,,,,,15090,14500,13970,13470,12880,11820,10850,9980,9180,8460,,,,,,,,,,
QL99-75-12_Fc21t60,Fc21,QL99-75-12,60,,,,,,,,13980,13180,12040,11030,10110,9290,8550,7870,7250,6720,6210,5730,5300,4900,4530,,,,,
