*,key,H,B,tw,tf,nF,mF,g1,g2,stfo,spL,stfi,spBi,mW,nW,Pc,stw,stB,stL,My,dZ,Qy,dAw,Mu,αj,Lq,L1,L2
_,H-244x175x7x11,244,175,7,11,2,2,105,ー,9,290,9,70,2,2,60,9,140,290,125,385,233,12.46,210,1.1,1.22,5.48,1.58
_,H-300x150x6.5x9,300,150,6.5,9,2,2,90,ー,9,290,9,60,3,1,60,6,200,170,117,362,263,14.04,200,1.1,1.07,4.29,0.9
_,H-294x200x8x12,294,200,8,12,3,2,120,ー,9,410,9,80,2,2,120,6,200,290,196,604,339,18.08,329,1.2,1.29,6.18,1.64
_,H-350x175x7x11,350,175,7,11,2,2,105,ー,9,290,9,70,3,1,90,6,260,170,194,598,344,18.34,317,1.1,1.3,5.15,1.1
_,H-340x250x9x14,340,250,9,14,5,2,150,ー,12,650,12,100,3,2,60,9,200,290,343,1060,415,22.14,579,1.2,1.73,7.88,2.06
_,H-400x200x8x13,400,200,8,13,3,2,120,ー,9,410,9,80,3,2,90,9,260,290,306,944,462,24.64,518,1.2,1.47,5.94,1.3
_,H-390x300x10x16,390,300,10,16,5,2,150,40,12,530,12,110,3,2,90,9,260,290,518,1590,547,29.2,871,1.2,2.03,9.56,2.47
_,H-450x200x9x14,450,200,9,14,4,2,120,ー,12,530,12,80,3,2,120,9,320,290,390,1200,601,32.04,677,1.2,1.43,5.76,1.25
_,H-440x300x11x18,440,300,11,18,6,2,150,40,12,620,12,110,5,2,60,9,320,290,665,2050,606,32.34,1120,1.2,2.36,9.44,2.46
_,H-500x200x10x16,500,200,10,16,4,2,120,ー,12,530,12,80,6,1,60,9,380,170,501,1540,630,33.6,876,1.2,1.75,5.68,1.28
_,H-488x300x11x18,488,300,11,18,6,2,150,40,12,620,12,110,4,2,90,12,350,290,756,2330,751,40.04,1250,1.2,2.16,9.28,2.22
_,H-600x200x11x17,600,200,11,17,4,2,120,ー,12,530,12,80,6,2,60,12,380,290,680,2090,895,47.74,1160,1.2,1.68,5.41,1.14
_,H-588x300x12x20,588,300,12,20,7,2,150,40,12,710,16,110,6,2,60,12,380,290,1040,3230,936,49.92,1760,1.2,2.41,9.02,2.05
_,H-700x300x13x24,700,300,13,24,9,2,150,40,19,890,19,110,8,2,60,12,500,290,1520,4690,1160,61.88,2620,1.2,2.83,8.89,2.06
_,H-800x300x14x26,800,300,14,26,9,2,150,40,19,890,19,110,9,2,60,12,560,290,1940,5980,1440,77,3370,1.2,2.9,8.68,1.95
_,H-890x299x15x23,890,299,15,23,8,2,150,40,16,800,19,110,12,2,60,12,740,290,2090,6430,1630,87,3690,1.3,2.78,8.07,1.55
_,H-900x300x16x28,900,300,16,28,10,2,150,40,19,980,22,110,12,2,60,12,740,290,2450,7560,1740,92.8,4310,1.2,3.06,8.36,1.87
_,H-912x302x18x34,912,302,18,34,11,2,150,40,25,1070,25,110,12,2,60,12,740,290,2930,9030,1950,104.4,5160,1.2,3.26,8.58,2.26
