key,断面,鋼種,lb,幅厚比柱,幅厚比梁,Zxe,Zye,Ae
H-458x417x30x50x22-SN490,H-458x417x30x50x22,SN490,18.7,FA,FA,8170,2900,528.6
H-498x432x45x70x22-SN400,H-498x432x45x70x22,SN400,34.5,FA,FA,12000,4370,770.1
H-498x432x45x70x22-SN490,H-498x432x45x70x22,SN490,24.9,FA,FA,12000,4370,770.1
H-148x100x6x9x8-SN400,H-148x100x6x9x8,SN400,3.45,FA,FA,135,30.1,26.35
H-148x100x6x9x8-SN490,H-148x100x6x9x8,SN490,2.5,FA,FA,135,30.1,26.35
H-194x150x6x9x8-SN400,H-194x150x6x9x8,SN400,3.95,FA,FA,271,67.6,38.11
H-194x150x6x9x8-SN490,H-194x150x6x9x8,SN490,2.86,FB,FB,271,67.6,38.11
H-244x175x7x11x13-SN400,H-244x175x7x11x13,SN400,4.48,FA,FA,495,112,55.49
H-244x175x7x11x13-SN490,H-244x175x7x11x13,SN490,3.24,FA,FB,495,112,55.49
H-294x200x8x12x13-SN400,H-294x200x8x12x13,SN400,4.64,FA,FA,756,160,71.05
H-294x200x8x12x13-SN490,H-294x200x8x12x13,SN490,3.35,FB,FB,756,160,71.05
H-298x201x9x14x13-SN400,H-298x201x9x14x13,SN400,5.36,FA,FA,878,189,82.03
H-298x201x9x14x13-SN490,H-298x201x9x14x13,SN490,3.88,FA,FA,878,189,82.03
H-336x249x8x12x13-SN400,H-336x249x8x12x13,SN400,5.05,FB,FB,1070,248,86.17
H-336x249x8x12x13-SN490,H-336x249x8x12x13,SN490,3.65,FC,FC,1070,248,86.17
H-340x250x9x14x13-SN400,H-340x250x9x14x13,SN400,5.85,FA,FA,1250,292,99.53
H-340x250x9x14x13-SN490,H-340x250x9x14x13,SN490,4.23,FB,FB,1250,292,99.53
H-386x299x9x14x13-SN400,H-386x299x9x14x13,SN400,6.16,FB,FB,1700,417,117.4
H-386x299x9x14x13-SN490,H-386x299x9x14x13,SN490,4.45,FC,FC,1700,417,117.4
H-390x300x10x16x13-SN400,H-390x300x10x16x13,SN400,6.99,FA,FB,1940,480,133.3
H-390x300x10x16x13-SN490,H-390x300x10x16x13,SN490,5.06,FB,FC,1940,480,133.3
H-434x299x10x15x13-SN400,H-434x299x10x15x13,SN400,5.87,FB,FB,2090,447,131.6
H-434x299x10x15x13-SN490,H-434x299x10x15x13,SN490,4.24,FC,FC,2090,447,131.6
H-440x300x11x18x13-SN400,H-440x300x11x18x13,SN400,6.97,FA,FA,2490,540,153.9
H-440x300x11x18x13-SN490,H-440x300x11x18x13,SN490,5.04,FB,FB,2490,540,153.9
H-446x302x13x21x13-SN400,H-446x302x13x21x13,SN400,8.08,FA,FA,2920,639,180.8
H-446x302x13x21x13-SN490,H-446x302x13x21x13,SN490,5.84,FA,FA,2920,639,180.8
H-482x300x11x15x13-SN400,H-482x300x11x15x13,SN400,5.3,FB,FB,2420,450,141.2
H-482x300x11x15x13-SN490,H-482x300x11x15x13,SN490,3.83,FD,FC,2420,450,141.2
H-488x300x11x18x13-SN400,H-488x300x11x18x13,SN400,6.29,FA,FA,2820,540,159.2
H-488x300x11x18x13-SN490,H-488x300x11x18x13,SN490,4.55,FD,FB,2820,540,159.2
H-494x302x13x21x13-SN400,H-494x302x13x21x13,SN400,7.29,FA,FA,3310,639,187.1
H-494x302x13x21x13-SN490,H-494x302x13x21x13,SN490,5.27,FA,FA,3310,639,187.1
H-582x300x12x17x13-SN400,H-582x300x12x17x13,SN400,4.98,FC,FA,3400,511,169.2
H-582x300x12x17x13-SN490,H-582x300x12x17x13,SN490,3.6,FD,FB,3400,511,165.3
H-588x300x12x20x13-SN400,H-588x300x12x20x13,SN400,5.8,FC,FA,3890,601,187.2
H-588x300x12x20x13-SN490,H-588x300x12x20x13,SN490,4.19,FD,FA,3890,601,183.3
H-594x302x14x23x13-SN400,H-594x302x14x23x13,SN400,6.64,FA,FA,4500,700,217.1
H-594x302x14x23x13-SN490,H-594x302x14x23x13,SN490,4.8,FC,FA,4500,700,217.1
H-692x300x13x20x18-SN400,H-692x300x13x20x18,SN400,4.93,FD,FA,4870,601,207.5
H-692x300x13x20x18-SN490,H-692x300x13x20x18,SN490,3.56,FD,FA,4870,601,196.4
H-700x300x13x24x18-SN400,H-700x300x13x24x18,SN400,5.84,FD,FA,5640,721,231.5
H-700x300x13x24x18-SN490,H-700x300x13x24x18,SN490,4.23,FD,FA,5640,721,220.4
H-708x302x15x28x18-SN400,H-708x302x15x28x18,SN400,6.78,FB,FA,6590,853,269.7
H-708x302x15x28x18-SN490,H-708x302x15x28x18,SN490,4.91,FD,FA,6590,853,269
H-792x300x14x22x18-SN400,H-792x300x14x22x18,SN400,4.73,FD,FA,6270,661,233.8
H-792x300x14x22x18-SN490,H-792x300x14x22x18,SN490,3.42,FD,FB,6270,661,219.7
H-800x300x14x26x18-SN400,H-800x300x14x26x18,SN400,5.54,FD,FA,7160,781,257.8
H-800x300x14x26x18-SN490,H-800x300x14x26x18,SN490,4,FD,FB,7160,781,243.7
H-808x302x16x30x18-SN400,H-808x302x16x30x18,SN400,6.37,FC,FA,8270,914,303.7
H-808x302x16x30x18-SN490,H-808x302x16x30x18,SN490,4.61,FD,FA,8270,914,294.1
H-816x303x17x34x18-SN400,H-816x303x17x34x18,SN400,7.17,FB,FA,9270,1040,336
H-816x303x17x34x18-SN490,H-816x303x17x34x18,SN490,5.19,FD,FA,9270,1040,332.8
H-890x299x15x23x18-SN400,H-890x299x15x23x18,SN400,4.39,FD,FA,7610,687,253.6
H-890x299x15x23x18-SN490,H-890x299x15x23x18,SN490,3.17,FD,FC,7610,687,237.5
H-900x300x16x28x18-SN400,H-900x300x16x28x18,SN400,5.3,FD,FA,8990,842,299.3
H-900x300x16x28x18-SN490,H-900x300x16x28x18,SN490,3.83,FD,FB,8990,842,280.9
H-912x302x18x34x18-SN400,H-912x302x18x34x18,SN400,6.4,FC,FA,10800,1040,360.1
H-912x302x18x34x18-SN490,H-912x302x18x34x18,SN490,4.62,FD,FA,10800,1040,346.7
H-918x303x19x37x18-SN400,H-918x303x19x37x18,SN400,6.94,FB,FA,11700,1140,387.4
H-918x303x19x37x18-SN490,H-918x303x19x37x18,SN490,5.02,FD,FA,11700,1140,381
H-150x75x5x7x8-SN400,H-150x75x5x7x8,SN400,1.99,FA,FA,88.8,13.2,17.85
H-150x75x5x7x8-SN490,H-150x75x5x7x8,SN490,1.44,FA,FA,88.8,13.2,17.85
H-175x90x5x8x8-SN400,H-175x90x5x8x8,SN400,2.34,FA,FA,138,21.7,22.9
H-175x90x5x8x8-SN490,H-175x90x5x8x8,SN490,1.69,FA,FA,138,21.7,22.9
H-198x99x4.5x7x8-SN400,H-198x99x4.5x7x8,SN400,1.99,FA,FA,156,22.9,22.69
H-198x99x4.5x7x8-SN490,H-198x99x4.5x7x8,SN490,1.44,FD,FA,156,22.9,22.69
H-200x100x5.5x8x8-SN400,H-200x100x5.5x8x8,SN400,2.27,FA,FA,181,26.7,26.67
H-200x100x5.5x8x8-SN490,H-200x100x5.5x8x8,SN490,1.64,FA,FA,181,26.7,26.67
H-248x124x5x8x8-SN400,H-248x124x5x8x8,SN400,2.27,FC,FA,278,41.1,31.99
H-248x124x5x8x8-SN490,H-248x124x5x8x8,SN490,1.64,FD,FB,278,41.1,31.38
H-250x125x6x9x8-SN400,H-250x125x6x9x8,SN400,2.56,FA,FA,317,47,36.97
H-250x125x6x9x8-SN490,H-250x125x6x9x8,SN490,1.85,FC,FA,317,47,36.97
H-298x149x5.5x8x13-SN400,H-298x149x5.5x8x13,SN400,2.27,FD,FB,424,59.3,40.8
H-298x149x5.5x8x13-SN490,H-298x149x5.5x8x13,SN490,1.64,FD,FB,424,59.3,39.05
H-300x150x6.5x9x13-SN400,H-300x150x6.5x9x13,SN400,2.56,FB,FA,481,67.7,46.78
H-300x150x6.5x9x13-SN490,H-300x150x6.5x9x13,SN490,1.85,FD,FB,481,67.7,46.78
H-346x174x6x9x13-SN400,H-346x174x6x9x13,SN400,2.57,FD,FB,638,91,51.59
H-346x174x6x9x13-SN490,H-346x174x6x9x13,SN490,1.86,FD,FC,638,91,49.01
H-350x175x7x11x13-SN400,H-350x175x7x11x13,SN400,3.12,FC,FA,771,112,62.91
H-350x175x7x11x13-SN490,H-350x175x7x11x13,SN490,2.26,FD,FB,771,112,61.75
H-354x176x8x13x13-SN400,H-354x176x8x13x13,SN400,3.67,FA,FA,906,134,73.45
H-354x176x8x13x13-SN490,H-354x176x8x13x13,SN490,2.65,FD,FA,906,134,73.45
H-396x199x7x11x13-SN400,H-396x199x7x11x13,SN400,3.14,FD,FB,999,145,70.54
H-396x199x7x11x13-SN490,H-396x199x7x11x13,SN490,2.27,FD,FB,999,145,67.03
H-400x200x8x13x13-SN400,H-400x200x8x13x13,SN400,3.69,FC,FA,1170,174,83.37
H-400x200x8x13x13-SN490,H-400x200x8x13x13,SN490,2.67,FD,FB,1170,174,81.62
