*,type,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2,lb(SN400),柱(SN400),梁(SN400),Zxe(SN400),Zye(SN400),Ae(SN400),lb(SN490),柱(SN490),梁(SN490),Zxe(SN490),Zye(SN490),Ae(SN490),lb(HBL-H355),柱(HBL-H355),梁(HBL-H355),Zxe(HBL-H355),Zye(HBL-H355),Ae(HBL-H355)
_,広幅,400×400,H-400x400x13x21x22,400,400,13,21,22,218.7,172,66600,22400,17.5,10.1,3330,1120,11,5.25,3670,1700,13,21,11.9,FB,FB,3330,1120,218.7,8.63,FB,FC,3330,1120,218.7,,,,,,
*,広幅,400×400,H-400x408x21x21x22,400,408,21,21,22,250.7,197,70900,23800,16.8,9.75,3540,1170,11.1,5.16,3990,1790,21,21,12.2,FB,FB,3540,1170,250.7,8.8,FB,FC,3540,1170,250.7,,,,,,
*,広幅,400×400,H-406x403x16x24x22,406,403,16,24,22,254.9,200,78000,26200,17.5,10.1,3840,1300,11.1,4.67,4280,1980,16,24,13.5,FA,FA,3840,1300,254.9,9.79,FB,FB,3840,1300,254.9,,,,,,
*,広幅,400×400,H-414x405x18x28x22,414,405,18,28,22,295.4,232,92800,31000,17.7,10.2,4480,1530,11.2,4.1,5030,2330,18,28,15.6,FA,FA,4480,1530,295.4,11.3,FA,FA,4480,1530,295.4,,,,,,
*,広幅,400×400,H-428x407x20x35x22,428,407,20,35,22,360.7,283,119000,39400,18.2,10.4,5570,1930,11.4,3.42,6310,2940,20,35,18.9,FA,FA,5570,1930,360.7,13.7,FA,FA,5570,1930,360.7,,,,,,
*,広幅,400×400,H-458x417x30x50x22,458,417,30,50,22,528.6,415,187000,60500,18.8,10.7,8170,2900,11.8,2.58,9540,4440,30,50,25.9,FA,FA,8170,2900,528.6,18.7,FA,FA,8170,2900,528.6,,,,,,
*,広幅,400×400,H-498x432x45x70x22,498,432,45,70,22,770.1,605,298000,94400,19.7,11.1,12000,4370,12.3,2.03,14500,6720,45,70,34.5,FA,FA,12000,4370,770.1,24.9,FA,FA,12000,4370,770.1,,,,,,
_,中幅,150×100,H-148x100x6x9x8,148,100,6,9,8,26.35,20.7,1000,150,6.17,2.39,135,30.1,2.71,4.46,154,46.4,6,9,3.45,FA,FA,135,30.1,26.35,2.5,FA,FA,135,30.1,26.35,,,,,,
_,中幅,200×150,H-194x150x6x9x8,194,150,6,9,8,38.11,29.9,2630,507,8.3,3.65,271,67.6,4.09,5.87,301,103,6,9,3.95,FA,FA,271,67.6,38.11,2.86,FB,FB,271,67.6,38.11,,,,,,
_,中幅,250×175,H-244x175x7x11x13,244,175,7,11,13,55.49,43.6,6040,984,10.4,4.21,495,112,4.72,5.99,550,172,7,11,4.48,FA,FA,495,112,55.49,3.24,FA,FB,495,112,55.49,,,,,,
_,中幅,300×200,H-294x200x8x12x13,294,200,8,12,13,71.05,55.8,11100,1600,12.5,4.75,756,160,5.38,6.59,842,245,8,12,4.64,FA,FA,756,160,71.05,3.35,FB,FB,756,160,71.05,,,,,,
*,中幅,300×200,H-298x201x9x14x13,298,201,9,14,13,82.03,64.4,13100,1900,12.6,4.81,878,189,5.44,5.76,982,289,9,14,5.36,FA,FA,878,189,82.03,3.88,FA,FA,878,189,82.03,,,,,,
*,中幅,350×250,H-336x249x8x12x13,336,249,8,12,13,86.17,67.6,18100,3090,14.5,5.99,1070,248,6.73,7.56,1190,378,8,12,5.05,FB,FB,1070,248,86.17,3.65,FC,FC,1070,248,86.17,,,,,,
