*,type,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2,lb(SN400),柱(SN400),梁(SN400),Zxe(SN400),Zye(SN400),Ae(SN400),lb(SN490),柱(SN490),梁(SN490),Zxe(SN490),Zye(SN490),Ae(SN490),lb(HBL-H355),柱(HBL-H355),梁(HBL-H355),Zxe(HBL-H355),Zye(HBL-H355),Ae(HBL-H355)
*,SH,450×250,SH-450x250x12x16x13,450,250,12,16,13,131.6,103,45600,4170,18.6,5.63,2030,334,6.6,7.43,2290,516,12,16,5.05,FA,FA,2030,334,131.6,3.65,FA,FB,2030,334,131.6,,,,,,
_,SH,450×250,SH-450x250x12x19x13,450,250,12,19,13,145.9,115,51700,4960,18.8,5.83,2300,396,6.71,6.36,2590,610,12,19,6,FA,FA,2300,396,145.9,4.34,FA,FA,2300,396,145.9,,,,,,
_,SH,450×250,SH-450x250x12x22x13,450,250,12,22,13,160.2,126,57700,5740,19,5.98,2560,459,6.79,5.56,2880,703,12,22,6.94,FA,FA,2560,459,160.2,5.02,FA,FA,2560,459,160.2,,,,,,
_,SH,450×250,SH-450x250x12x25x13,450,250,12,25,13,174.5,137,63500,6520,19.1,6.11,2820,521,6.86,4.94,3160,797,12,25,7.89,FA,FA,2820,521,174.5,5.71,FA,FA,2820,521,174.5,,,,,,
_,SH,450×250,SH-450x250x12x28x13,450,250,12,28,13,188.7,148,69100,7300,19.1,6.22,3070,584,6.91,4.44,3450,890,12,28,8.84,FA,FA,3070,584,188.7,6.39,FA,FA,3070,584,188.7,,,,,,
_,SH,500×200,SH-500x200x9x12x13,500,200,9,12,13,92.29,72.4,37500,1600,20.2,4.17,1500,160,5.07,10.6,1720,251,9,12,2.73,FD,FA,1500,160,90.63,1.97,FD,FB,1500,160,84.81,,,,,,
_,SH,500×200,SH-500x200x9x16x13,500,200,9,16,13,107.6,84.5,46000,2140,20.7,4.46,1840,214,5.25,8.2,2080,331,9,16,3.64,FD,FA,1840,214,106.6,2.63,FD,FB,1840,214,100.8,,,,,,
_,SH,500×200,SH-500x200x9x19x13,500,200,9,19,13,119,93.4,52100,2540,20.9,4.62,2090,254,5.34,7.02,2340,390,9,19,4.32,FD,FA,2090,254,118.6,3.12,FD,FB,2090,254,112.8,,,,,,
_,SH,500×200,SH-500x200x9x22x13,500,200,9,22,13,130.5,102,58100,2940,21.1,4.74,2330,294,5.4,6.14,2600,450,9,22,5,FD,FA,2330,294,130.5,3.61,FD,FA,2330,294,124.8,,,,,,
_,SH,500×200,SH-500x200x12x16x13,500,200,12,16,13,121.6,95.5,48500,2140,20,4.2,1940,214,5.12,7.99,2240,338,12,16,3.64,FA,FA,1940,214,121.6,2.63,FC,FA,1940,214,121.6,,,,,,
_,SH,500×200,SH-500x200x12x19x13,500,200,12,19,13,132.9,104,54600,2540,20.3,4.37,2180,254,5.23,6.88,2500,398,12,19,4.32,FA,FA,2180,254,132.9,3.12,FC,FA,2180,254,132.9,,,,,,
_,SH,500×200,SH-500x200x12x22x13,500,200,12,22,13,144.2,113,60500,2940,20.5,4.52,2420,294,5.31,6.03,2760,458,12,22,5,FA,FA,2420,294,144.2,3.61,FB,FA,2420,294,144.2,,,,,,
_,SH,500×200,SH-500x200x12x25x13,500,200,12,25,13,155.5,122,66300,3340,20.6,4.64,2650,334,5.38,5.38,3010,517,12,25,5.68,FA,FA,2650,334,155.5,4.11,FB,FA,2650,334,155.5,,,,,,
_,SH,500×250,SH-500x250x9x12x13,500,250,9,12,13,104.3,81.9,44600,3130,20.7,5.48,1780,250,6.49,10.8,2010,386,9,12,3.41,FD,FB,1780,250,102.6,2.46,FD,FC,1780,250,96.81,,,,,,
_,SH,500×250,SH-500x250x9x16x13,500,250,9,16,13,123.6,97,55300,4170,21.2,5.81,2210,334,6.67,8.34,2460,511,9,16,4.54,FD,FA,2210,334,122.6,3.29,FD,FB,2210,334,116.8,,,,,,
_,SH,500×250,SH-500x250x9x19x13,500,250,9,19,13,138,108,63100,4950,21.4,5.99,2530,396,6.77,7.13,2800,604,9,19,5.4,FD,FA,2530,396,137.6,3.9,FD,FB,2530,396,131.8,,,,,,
_,SH,500×250,SH-500x250x9x22x13,500,250,9,22,13,152.5,120,70700,5730,21.5,6.13,2830,459,6.84,6.22,3130,698,9,22,6.25,FD,FA,2830,459,152.5,4.52,FD,FA,2830,459,146.8,,,,,,
_,SH,500×250,SH-500x250x12x16x13,500,250,12,16,13,137.6,108,57900,4170,20.5,5.51,2320,334,6.54,8.17,2630,518,12,16,4.54,FA,FA,2320,334,137.6,3.29,FC,FB,2320,334,137.6,,,,,,
_,SH,500×250,SH-500x250x12x19x13,500,250,12,19,13,151.9,119,65600,4960,20.8,5.71,2620,396,6.65,7,2960,612,12,19,5.4,FA,FA,2620,396,151.9,3.9,FC,FA,2620,396,151.9,,,,,,
_,SH,500×250,SH-500x250x12x22x13,500,250,12,22,13,166.2,130,73100,5740,21,5.88,2920,459,6.74,6.13,3290,705,12,22,6.25,FA,FA,2920,459,166.2,4.52,FB,FA,2920,459,166.2,,,,,,
_,SH,500×250,SH-500x250x12x25x13,500,250,12,25,13,180.5,142,80400,6520,21.1,6.01,3220,521,6.81,5.45,3610,799,12,25,7.1,FA,FA,3220,521,180.5,5.13,FB,FA,3220,521,180.5,,,,,,
_,SH,500×250,SH-500x250x12x28x13,500,250,12,28,13,194.7,153,87500,7300,21.2,6.12,3500,584,6.87,4.9,3930,892,12,28,7.95,FA,FA,3500,584,194.7,5.75,FB,FA,3500,584,194.7,,,,,,
_,SH,500×300,SH-500x300x9x16x13,500,300,9,16,13,139.6,110,64700,7200,21.5,7.18,2590,480,8.11,8.45,2850,731,9,16,5.45,FD,FB,2590,480,138.6,3.94,FD,FC,2590,480,132.8,,,,,,
_,SH,500×300,SH-500x300x9x19x13,500,300,9,19,13,157,123,74100,8550,21.7,7.38,2960,570,8.2,7.2,3260,865,9,19,6.48,FD,FA,2960,570,156.6,4.68,FD,FB,2960,570,150.8,,,,,,
_,SH,500×300,SH-500x300x12x16x13,500,300,12,16,13,153.6,121,67300,7210,20.9,6.85,2690,481,7.96,8.29,3010,738,12,16,5.45,FA,FB,2690,481,153.6,3.94,FC,FC,2690,481,153.6,,,,,,
_,SH,500×300,SH-500x300x12x19x13,500,300,12,19,13,170.9,134,76600,8560,21.2,7.08,3060,571,8.08,7.09,3420,873,12,19,6.48,FA,FA,3060,571,170.9,4.68,FC,FB,3060,571,170.9,,,,,,
_,SH,500×300,SH-500x300x12x22x13,500,300,12,22,13,188.2,148,85700,9910,21.3,7.26,3430,661,8.18,6.19,3810,1010,12,22,7.5,FA,FA,3430,661,188.2,5.42,FB,FA,3430,661,188.2,,,,,,
_,SH,500×300,SH-500x300x12x25x13,500,300,12,25,13,205.5,161,94500,11300,21.4,7.4,3780,751,8.25,5.5,4200,1140,12,25,8.52,FA,FA,3780,751,205.5,6.16,FB,FA,3780,751,205.5,,,,,,
_,SH,500×300,SH-500x300x12x28x13,500,300,12,28,13,222.7,175,103000,12600,21.5,7.52,4130,841,8.3,4.94,4590,1280,12,28,9.54,FA,FA,4130,841,222.7,6.9,FB,FA,4130,841,222.7,,,,,,
_,SH,500×300,SH-500x300x14x19x13,500,300,14,19,13,180.1,141,78200,8560,20.8,6.89,3130,571,8.01,7.02,3520,879,14,19,6.48,FA,FA,3130,571,180.1,4.68,FA,FB,3130,571,180.1,,,,,,
_,SH,500×300,SH-500x300x14x22x13,500,300,14,22,13,197.3,155,87.3,9910,21,7.09,3490,661,8.11,6.14,3920,1010,14,22,7.5,FA,FA,3490,661,197.3,5.42,FA,FA,3490,661,197.3,,,,,,
_,SH,500×300,SH-500x300x14x25x13,500,300,14,25,13,214.5,168,96000,11300,21.2,7.25,3840,751,8.19,5.46,4300,1150,14,25,8.52,FA,FA,3840,751,214.5,6.16,FA,FA,3840,751,214.5,,,,,,
_,SH,500×300,SH-500x300x14x28x13,500,300,14,28,13,231.6,182,105000,12600,21.3,7.38,4180,841,8.26,4.91,4690,1280,14,28,9.54,FA,FA,4180,841,231.6,6.9,FA,FA,4180,841,231.6,,,,,,
_,SH,500×300,SH-500x300x16x19x13,500,300,16,19,13,189.4,149,79900,8570,20.5,6.73,3200,571,7.93,6.96,3630,886,16,19,6.48,FA,FA,3200,571,189.4,4.68,FA,FB,3200,571,189.4,,,,,,
_,SH,500×300,SH-500x300x16x22x13,500,300,16,22,13,206.4,162,88800,9920,20.7,6.93,3550,661,8.04,6.09,4020,1020,16,22,7.5,FA,FA,3550,661,206.4,5.42,FA,FA,3550,661,206.4,,,,,,
_,SH,500×300,SH-500x300x16x25x13,500,300,16,25,13,223.5,175,97600,11300,20.9,7.1,3900,751,8.13,5.42,4400,1160,16,25,8.52,FA,FA,3900,751,223.5,6.16,FA,FA,3900,751,223.5,,,,,,
_,SH,500×300,SH-500x300x16x28x13,500,300,16,28,13,240.5,189,106000,12600,21,7.24,4240,841,8.21,4.89,4790,1290,16,28,9.54,FA,FA,4240,841,240.5,6.9,FA,FA,4240,841,240.5,,,,,,
_,SH,500×300,SH-500x300x16x32x13,500,300,16,32,13,263.2,207,117000,14400,21.1,7.4,4680,961,8.28,4.31,5280,1470,16,32,10.9,FA,FA,4680,961,236.2,7.89,FA,FA,4680,961,263.2,,,,,,
_,SH,550×200,SH-550x200x9x12x13,550,200,9,12,13,96.79,76,46600,1600,22,4.07,1700,160,5.01,11.5,1950,252,9,12,2.48,FD,FA,1700,160,90.63,1.79,FD,FC,1700,160,84.81,,,,,,
_,SH,550×200,SH-550x200x9x16x13,550,200,9,16,13,112.1,88,57000,2140,22.6,4.37,2070,214,5.2,8.93,2350,332,9,16,3.31,FD,FA,2070,214,106.6,2.39,FD,FC,2070,214,100.8,,,,,,
_,SH,550×200,SH-550x200x9x19x13,550,200,9,19,13,123.5,96.9,64600,2540,22.9,4.53,2350,254,5.29,7.66,2640,391,9,19,3.92,FD,FA,2350,254,118.6,2.84,FD,FC,2350,254,112.8,,,,,,
_,SH,550×200,SH-550x200x9x22x13,550,200,9,22,13,135,106,72000,2940,23.1,4.66,2620,294,5.36,6.71,2940,451,9,22,4.54,FD,FA,2620,294,130.6,3.29,FD,FC,2620,294,124.8,,,,,,
_,SH,550×200,SH-550x200x12x16x13,550,200,12,16,13,127.6,100,60500,2140,21.8,4.1,2200,214,5.06,8.69,2550,340,12,16,3.31,FB,FA,2200,214,127.6,2.39,FD,FA,2200,214,127.3,,,,,,
_,SH,550×200,SH-550x200x12x19x13,550,200,12,19,13,138.9,109,67900,2540,22.1,4.28,2470,254,5.17,7.48,2840,400,12,19,3.92,FA,FA,2470,254,138.9,2.84,FD,FA,2470,254,138.9,,,,,,
_,SH,550×200,SH-550x200x12x22x13,550,200,12,22,13,150.2,118,75200,2940,22.4,4.43,2740,294,5.26,6.57,3130,460,12,22,4.54,FA,FA,2740,294,150.2,3.29,FD,FA,2740,294,150.2,,,,,,
_,SH,550×200,SH-550x200x12x25x13,550,200,12,25,13,161.5,127,82300,3340,22.6,4.55,2990,334,5.33,5.86,3410,519,12,25,5.16,FA,FA,2990,334,161.5,3.73,FD,FA,2990,334,161.5,,,,,,
_,SH,550×250,SH-550x250x9x12x13,550,250,9,12,13,108.8,85.4,55300,3130,22.6,5.36,2010,250,6.42,11.8,2270,387,9,12,3.1,FD,FB,2010,250,102.6,2.24,FD,FC,2010,250,96.81,,,,,,
_,SH,550×250,SH-550x250x9x16x13,550,250,9,16,13,128.1,101,68400,4170,23.1,5.71,2490,334,6.62,9.1,2780,512,9,16,4.13,FD,FA,2490,334,122.6,2.99,FD,FC,2490,334,116.8,,,,,,
_,SH,550×250,SH-550x250x9x19x13,550,250,9,19,13,142.5,112,78000,4950,23.4,5.89,2840,396,6.72,7.78,3150,605,9,19,4.91,FD,FA,2840,396,137.6,3.55,FD,FC,2840,396,131.8,,,,,,
_,SH,550×250,SH-550x250x9x22x13,550,250,9,22,13,157,123,87300,5730,23.6,6.04,3180,459,6.8,6.8,3520,699,9,22,5.68,FD,FA,3180,459,152.6,4.11,FD,FC,3180,459,146.8,,,,,,
*,SH,550×250,SH-550x250x12x16x13,550,250,12,16,13,143.6,113,71900,4180,22.4,5.39,2610,334,6.47,8.9,2980,520,12,16,4.13,FB,FA,2610,334,143.6,2.99,FD,FB,2610,334,143.3,,,,,,
_,SH,550×250,SH-550x250x12x19x13,550,250,12,19,13,157.9,124,81300,4960,22.7,5.6,2960,397,6.59,7.63,3350,613,12,19,4.91,FA,FA,2960,397,157.9,3.55,FD,FA,2960,397,157.9,,,,,,
_,SH,550×250,SH-550x250x12x22x13,550,250,12,22,13,172.2,135,90600,5740,22.9,5.77,3290,459,6.69,6.69,3710,707,12,22,5.68,FA,FA,3290,459,172.2,4.11,FD,FA,3290,459,172.2,,,,,,
_,SH,550×250,SH-550x250x12x25x13,550,250,12,25,13,186.5,146,99600,6520,23.1,5.91,3620,522,6.76,5.95,4070,801,12,25,6.46,FA,FA,3620,522,186.5,4.67,FD,FA,3620,522,186.5,,,,,,
_,SH,550×250,SH-550x250x12x28x13,550,250,12,28,13,200.7,158,108000,7300,23.2,6.03,3940,584,6.82,5.36,4420,894,12,28,7.23,FA,FA,3940,584,200.7,5.23,FD,FA,3940,584,200.7,,,,,,
*,SH,550×300,SH-550x300x9x16x13,550,300,9,16,13,144.1,113,79800,7200,23.5,7.07,2900,480,8.05,9.23,3200,732,9,16,4.96,FD,FB,2900,480,138.6,3.58,FD,FC,2900,480,132.8,,,,,,
_,SH,550×300,SH-550x300x9x19x13,550,300,9,19,13,161.5,127,91400,8550,23.8,7.28,3320,570,8.16,7.87,3650,866,9,19,5.89,FD,FA,3320,570,156.6,4.26,FD,FC,3320,570,150.8,,,,,,
_,SH,550×300,SH-550x300x12x16x13,550,300,12,16,13,159.6,125,83300,7210,22.8,6.72,3030,481,7.89,9.04,3410,740,12,16,4.96,FB,FB,3030,481,159.6,3.58,FD,FC,3030,481,159.3,,,,,,
_,SH,550×300,SH-550x300x12x19x13,550,300,12,19,13,176.9,139,94700,8560,23.1,6.96,3450,571,8.02,7.74,3850,875,12,19,5.89,FA,FA,3450,571,176.9,4.26,FD,FB,3450,571,176.9,,,,,,
_,SH,550×300,SH-550x300x12x22x13,550,300,12,22,13,194.2,152,106000,9910,23.4,7.14,3850,661,8.12,6.77,4290,1010,12,22,6.82,FA,FA,3850,661,194.2,4.93,FD,FA,3850,661,194.2,,,,,,
_,SH,550×300,SH-550x300x12x25x13,550,300,12,25,13,211.5,166,117000,11300,23.5,7.3,4250,751,8.2,6.01,4720,1140,12,25,7.75,FA,FA,4250,751,211.5,5.6,FD,FA,4250,751,211.5,,,,,,
_,SH,550×300,SH-550x300x12x28x13,550,300,12,28,13,228.7,180,127000,12600,23.6,7.42,4640,841,8.26,5.41,5150,1280,12,28,8.68,FA,FA,4640,841,228.7,6.27,FD,FA,4640,841,228.7,,,,,,
*,SH,550×300,SH-550x300x14x19x13,550,300,14,19,13,187.1,147,97000,8560,22.8,6.76,3530,571,7.94,7.66,3980,882,14,19,5.89,FA,FA,3530,571,187.1,4.26,FB,FB,3530,571,187.1,,,,,,
*,SH,550×300,SH-550x300x14x22x13,550,300,14,22,13,204.3,160,108000,9910,23,6.97,3930,661,8.05,6.71,4420,1020,14,22,6.82,FA,FA,3930,661,204.3,4.93,FA,FA,3930,661,204.3,,,,,,
*,SH,550×300,SH-550x300x14x25x13,550,300,14,25,13,221.5,174,119000,11300,23.2,7.13,4320,751,8.13,5.96,4850,1150,14,25,7.75,FA,FA,4320,751,221.5,5.6,FA,FA,4320,751,221.5,,,,,,
*,SH,550×300,SH-550x300x14x28x13,550,300,14,28,13,238.6,187,129000,12600,23.3,7.27,4710,841,8.2,5.37,5270,1290,14,28,8.68,FA,FA,4710,841,238.6,6.27,FA,FA,4710,841,238.6,,,,,,
_,SH,550×300,SH-550x300x16x22x13,550,300,16,22,13,214.4,168,110000,9920,22.7,6.8,4010,661,7.98,6.65,4550,1020,16,22,6.82,FA,FA,4010,661,214.4,4.93,FA,FA,4010,661,214.4,,,,,,
_,SH,550×300,SH-550x300x16x25x13,550,300,16,25,13,231.5,182,121000,11300,22.9,6.98,4400,751,8.07,5.92,4970,1160,16,25,7.75,FA,FA,4400,751,231.5,5.6,FA,FA,4400,751,231.5,,,,,,
_,SH,550×300,SH-550x300x16x28x13,550,300,16,28,13,248.5,195,131000,12600,23,7.13,4780,841,8.15,5.34,5400,1290,16,28,8.68,FA,FA,4780,841,248.5,6.27,FA,FA,4780,841,248.5,,,,,,
_,SH,600×200,SH-600x200x9x12x13,600,200,9,12,13,101.3,79.5,57000,1600,23.7,3.98,1900,160,4.95,12.4,2200,253,9,12,2.27,FD,FB,1900,160,90.63,1.64,FD,FD,1900,160,84.81,,,,,,
_,SH,600×200,SH-600x200x9x16x13,600,200,9,16,13,116.6,91.5,69500,2140,24.4,4.28,2320,214,5.15,9.65,2640,333,9,16,3.03,FD,FB,2320,214,106.6,2.19,FD,FD,2320,214,100.8,,,,,,
_,SH,600×200,SH-600x200x9x19x13,600,200,9,19,13,128,100,78600,2540,24.8,4.45,2620,254,5.25,8.29,2960,392,9,19,3.6,FD,FB,2620,254,118.6,2.6,FD,FD,2620,254,112.8,,,,,,
_,SH,600×200,SH-600x200x9x22x13,600,200,9,22,13,139.5,110,87500,2940,25,4.59,2920,294,5.33,7.26,3280,452,9,22,4.17,FD,FB,2920,294,130.6,3.01,FD,FD,2920,294,124.8,,,,,,
_,SH,600×200,SH-600x200x12x16x13,600,200,12,16,13,133.6,105,74100,2140,23.5,4,2470,214,5,9.37,2880,342,12,16,3.03,FC,FA,2470,214,133.6,2.19,FD,FA,2470,214,127.2,,,,,,
_,SH,600×200,SH-600x200x12x19x13,600,200,12,19,13,144.9,114,83000,2540,23.9,4.19,2770,254,5.12,8.08,3200,402,12,19,3.6,FC,FA,2770,254,144.9,2.6,FD,FA,2770,254,139.3,,,,,,
_,SH,600×200,SH-600x200x12x22x13,600,200,12,22,13,156.2,123,91800,2940,24.2,4.34,3060,294,5.21,7.11,3510,461,12,22,4.17,FC,FA,3060,294,156.2,3.01,FD,FA,3060,294,151.3,,,,,,
_,SH,600×200,SH-600x200x12x25x13,600,200,12,25,13,167.5,131,100000,3340,24.5,4.47,3350,334,5.29,6.34,3820,521,12,25,4.73,FC,FA,3350,334,167.5,3.42,FD,FA,3350,334,163.3,,,,,,
_,SH,600×200,SH-600x200x12x28x13,600,200,12,28,13,178.7,140,109000,3740,24.7,4.58,3630,374,5.35,5.73,4130,581,12,28,5.3,FC,FA,3630,374,178.7,3.83,FD,FA,3630,374,175.3,,,,,,
_,SH,600×250,SH-600x250x9x16x13,600,250,9,16,13,132.6,104,83100,4170,25,5.61,2770,334,6.57,9.86,3100,513,9,16,3.79,FD,FB,2770,334,122.6,2.74,FD,FD,2770,334,116.8,,,,,,
_,SH,600×250,SH-600x250x9x19x13,600,250,9,19,13,147,115,94600,4950,25.4,5.8,3150,396,6.68,8.43,3510,606,9,19,4.5,FD,FB,3150,396,137.6,3.25,FD,FD,3150,396,131.8,,,,,,
_,SH,600×250,SH-600x250x12x16x13,600,250,12,16,13,149.6,117,87700,4180,24.2,5.28,2920,334,6.41,9.61,3340,522,12,16,3.79,FC,FA,2920,334,149.6,2.74,FD,FB,2920,334,143.3,,,,,,
_,SH,600×250,SH-600x250x12x19x13,600,250,12,19,13,163.9,129,99100,4960,24.6,5.5,3300,397,6.54,8.26,3750,615,12,19,4.5,FC,FA,3300,397,163.9,3.25,FD,FA,3300,397,158.3,,,,,,
_,SH,600×250,SH-600x250x12x22x13,600,250,12,22,13,178.2,140,110000,5740,24.9,5.68,3670,459,6.64,7.24,4150,709,12,22,5.21,FC,FA,3670,459,178.2,3.77,FD,FA,3670,459,173.3,3.45,FD,FA,3670,459,170.7
_,SH,600×250,SH-600x250x12x25x13,600,250,12,25,13,192.5,151,121000,6520,25.1,5.82,4040,522,6.72,6.45,4540,802,12,25,5.92,FC,FA,4040,522,192.5,4.28,FD,FA,4040,522,188.3,3.92,FD,FA,4040,522,185.7
_,SH,600×250,SH-600x250x12x28x13,600,250,12,28,13,206.7,162,132000,7300,25.2,5.94,4390,584,6.78,5.81,4930,896,12,28,6.63,FC,FA,4390,584,206.7,4.79,FD,FA,4390,584,203.3,,,,,,
_,SH,600×250,SH-600x250x14x19x13,600,250,14,19,13,175.1,137,102000,4960,24.1,5.32,3400,397,6.45,8.14,3910,623,14,19,4.5,FA,FA,3400,397,175.1,3.25,FC,FA,3400,397,175.1,,,,,,
*,SH,600×250,SH-600x250x14x22x13,600,250,14,22,13,189.3,149,113000,5740,24.4,5.51,3770,459,6.56,7.16,4300,716,14,22,5.21,FA,FA,3770,459,189.3,3.77,FC,FA,3770,459,189.3,3.45,FD,FA,3770,459,189.3
*,SH,600×250,SH-600x250x14x25x13,600,250,14,25,13,203.5,160,124000,6520,24.7,5.66,4130,522,6.65,6.38,4690,810,14,25,5.92,FA,FA,4130,522,203.5,4.28,FC,FA,4130,522,203.5,3.92,FD,FA,4130,522,203.5
*,SH,600×250,SH-600x250x14x28x13,600,250,14,28,13,217.6,171,134000,7310,24.9,5.79,4480,584,6.72,5.76,5080,903,14,28,6.63,FA,FA,4480,584,217.6,4.7,FC,FA,4480,584,217.6,4.39,FC,FA,4180,584,217.6
*,SH,600×250,SH-600x250x16x22x13,600,250,16,22,13,200.4,157,116000,5750,24.1,5.36,3860,460,6.48,7.07,4460,725,16,22,5.21,FA,FA,3860,460,200.4,3.77,FA,FA,3860,460,200.4,3.45,FA,FA,3860,460,200.4
_,SH,600×250,SH-600x250x16x25x13,600,250,16,25,13,214.5,168,127000,6530,24.3,5.52,4220,522,6.58,6.32,4840,818,16,25,5.92,FA,FA,4220,522,214.5,4.28,FA,FA,4220,522,214.5,3.92,FA,FA,4220,522,214.5
_,SH,600×250,SH-600x250x16x28x13,600,250,16,28,13,228.5,179,137000,7310,24.5,5.66,4570,585,6.66,5.71,5230,911,16,28,6.63,FA,FA,4570,585,228.5,4.79,FA,FA,4570,585,228.5,4.39,FA,FA,4570,585,228.5
_,SH,600×250,SH-600x250x16x32x13,600,250,16,32,13,247.2,194,151000,8350,24.7,5.81,5020,668,6.75,5.06,5730,1040,16,32,7.57,FA,FA,5020,668,247.2,5.4,FA,FA,5020,668,247.2,,,,,,
_,SH,600×300,SH-600x300x9x19x13,600,300,9,19,13,166,130,111000,8550,25.8,7.18,3690,570,8.11,8.54,4060,867,9,19,5.4,FD,FB,3690,570,156.6,3.9,FD,FD,3690,570,150.8,,,,,,
_,SH,600×300,SH-600x300x12x16x13,600,300,12,16,13,165.6,130,101000,7210,24.7,6.6,3380,481,7.83,9.78,3810,742,12,16,4.54,FC,FB,3380,481,165.6,3.29,FD,FC,3380,481,159.3,,,,,,
_,SH,600×300,SH-600x300x12x19x13,600,300,12,19,13,182.9,144,115000,8560,25.1,6.84,3840,571,7.96,8.38,4300,877,12,19,5.4,FC,FA,3840,571,182.9,3.9,FD,FB,3840,571,177.3,,,,,,
_,SH,600×300,SH-600x300x12x22x13,600,300,12,22,13,200.2,157,129000,9910,25.3,7.04,4290,661,8.07,7.33,4780,1010,12,22,6.25,FC,FA,4290,661,200.2,4.52,FD,FA,4290,661,195.3,4.14,FD,FA,4290,661,192.7
_,SH,600×300,SH-600x300x12x25x13,600,300,12,25,13,217.5,171,142000,11300,25.5,7.2,4730,751,8.15,6.52,5260,1150,12,25,7.1,FC,FA,4730,751,217.5,5.13,FD,FA,4730,751,213.3,4.7,FD,FA,4730,751,210.7
_,SH,600×300,SH-600x300x12x28x13,600,300,12,28,13,234.7,184,155000,12600,25.7,7.33,5160,841,8.22,5.87,5730,1280,12,28,7.95,FC,FA,5160,841,234.7,5.75,FD,FA,5160,841,231.3,,,,,,
_,SH,600×300,SH-600x300x14x19x13,600,300,14,19,13,194.1,152,118000,8560,24.7,6.64,3940,571,7.87,8.28,4460,884,14,19,5.4,FA,FA,3940,571,194.1,3.9,FC,FB,3940,571,194.1,,,,,,
_,SH,600×300,SH-600x300x14x22x13,600,300,14,22,13,211.3,166,131000,9910,24.9,6.85,4380,661,7.99,7.26,4940,1020,14,22,6.25,FA,FA,4380,661,211.3,4.52,FC,FA,4380,661,211.3,4.14,FD,FA,4380,661,211.3
_,SH,600×300,SH-600x300x14x25x13,600,300,14,25,13,228.5,179,145000,11300,25.2,7.02,4820,751,8.08,6.46,5410,1150,14,25,7.1,FA,FA,4820,751,228.5,5.13,FC,FA,4820,751,228.5,4.7,FD,FA,4820,751,228.5
_,SH,600×300,SH-600x300x14x28x13,600,300,14,28,13,245.6,193,157000,12600,25.3,7.17,5250,841,8.15,5.82,5880,1290,14,28,7.95,FA,FA,5250,841,245.6,5.75,FC,FA,5250,841,245.6,5.26,FC,FA,5250,841,245.6
_,SH,600×300,SH-600x300x14x32x13,600,300,14,32,13,268.5,211,174000,14400,25.5,7.33,5800,961,8.23,5.15,6500,1470,14,32,9.09,FA,FA,5800,961,268.5,6.57,FC,FA,5800,961,268.5,,,,,,
_,SH,600×300,SH-600x300x16x22x13,600,300,16,22,13,222.4,175,134000,9920,24.6,6.68,4480,661,7.91,7.19,5090,1030,16,22,6.25,FA,FA,4480,661,222.4,4.52,FA,FA,4480,661,222.4,4.14,FA,FA,4480,661,222.4
_,SH,600×300,SH-600x300x16x25x13,600,300,16,25,13,239.5,188,147000,11300,24.8,6.86,4910,751,8.01,6.41,5560,1160,16,25,7.1,FA,FA,4910,751,239.5,5.13,FA,FA,4910,751,239.5,4.7,FA,FA,4910,751,239.5
_,SH,600×300,SH-600x300x16x28x13,600,300,16,28,13,256.5,201,160000,12600,25,7.01,5330,841,8.09,5.78,6030,1300,16,28,7.95,FA,FA,5330,841,256.5,5.75,FA,FA,5330,841,256.5,5.26,FA,FA,5330,841,256.5
_,SH,600×300,SH-600x300x16x32x13,600,300,16,32,13,279.2,219,177000,14400,25.1,7.19,5890,961,8.18,5.11,6640,1480,16,32,9.09,FA,FA,5890,961,279.2,6.57,FA,FA,5890,961,279.2,,,,,,
_,SH,650×200,SH-650x200x9x12x13,650,200,9,12,13,105.8,83.1,68600,1600,25.5,3.89,2110,160,4.9,13.3,2460,254,9,12,2.1,FD,FC,2110,160,90.63,1.52,FD,FD,2110,160,84.81,,,,,,
_,SH,650×200,SH-650x200x9x16x13,650,200,9,16,13,121.1,95.1,83400,2140,26.2,4.2,2570,214,5.1,10.4,2930,334,9,16,2.8,FD,FC,2570,214,106.6,2.02,FD,FD,2570,214,100.8,,,,,,
_,SH,650×200,SH-650x200x9x19x13,650,200,9,19,13,132.5,104,94200,2540,26.7,4.38,2900,254,5.21,8.91,3280,393,9,19,3.32,FD,FC,2900,254,118.6,2.4,FD,FD,2900,254,112.8,,,,,,
_,SH,650×200,SH-650x200x9x22x13,650,200,9,22,13,144,113,105000,2940,27,4.52,3220,294,5.29,7.81,3630,453,9,22,3.85,FD,FC,3220,294,130.6,2.78,FD,FD,3220,294,124.8,,,,,,
_,SH,650×200,SH-650x200x12x16x13,650,200,12,16,13,139.6,110,89300,2140,25.3,3.92,2750,214,4.94,10,3220,344,12,16,2.8,FD,FA,2750,214,137.6,2.02,FD,FB,2750,214,127.3,,,,,,
_,SH,650×200,SH-650x200x12x19x13,650,200,12,19,13,150.9,118,99900,2540,25.7,4.11,3070,254,5.07,8.66,3570,403,12,19,3.32,FD,FA,3070,254,149.6,2.4,FD,FA,3070,254,139.3,,,,,,
