key,厚さ,幅,断面積,単位質量
FB-32x90,32,90,28.8,22.6
FB-32x100,32,100,32,25.1
FB-32x125,32,125,40,31.4
FB-32x150,32,150,48,37.7
FB-32x230,32,230,73.6,57.8
FB-32x250,32,250,80,62.8
FB-32x280,32,280,89.6,70.3
FB-32x300,32,300,96,75.4
FB-32x350,32,350,112,87.9
FB-32x400,32,400,128,100
FB-32x450,32,450,144,113
FB-32x500,32,500,160,126
FB-36x75,36,75,27,21.2
FB-36x90,36,90,32.4,25.4
FB-36x100,36,100,36,28.3
FB-36x125,36,125,45,35.3
FB-36x150,36,150,54,42.4
FB-36x180,36,180,64.8,50.9
FB-36x200,36,200,72,56.5
FB-36x230,36,230,82.8,65
FB-36x250,36,250,90,70.6
FB-36x280,36,280,100.8,79.1
FB-36x300,36,300,108,84.8
FB-36x350,36,350,126,98.9
FB-36x400,36,400,144,113
FB-36x450,36,450,162,127
FB-36x500,36,500,180,141
FB-40x75,40,75,30,23.6
FB-40x90,40,90,36,28.3
FB-40x100,40,100,40,31.4
FB-40x125,40,125,50,39.2
FB-40x150,40,150,60,47.1
FB-40x180,40,180,72,56.5
FB-40x200,40,200,80,62.8
FB-40x230,40,230,92,72.2
FB-40x250,40,250,100,78.5
FB-40x280,40,280,112,87.9
FB-40x300,40,300,120,94.2
FB-40x350,40,350,140,110
FB-40x400,40,400,160,126
FB-40x450,40,450,180,141
FB-40x500,40,500,200,157
FB-45x75,45,75,33.75,26.5
FB-45x90,45,90,40.5,31.8
FB-45x100,45,100,45,35.3
FB-45x125,45,125,56.25,44.2
FB-45x150,45,150,67.5,53
FB-45x180,45,180,81,63.6
FB-45x250,45,250,112.5,88.3
FB-45x280,45,280,126,98.9
FB-45x300,45,300,135,106
FB-45x350,45,350,157.5,124
FB-45x400,45,400,180,141
FB-45x450,45,450,202.5,159
FB-45x500,45,500,225,177
