*,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2
FALSE,600×250,SH-600x250x9x19x13,600,250,9,19,13,147,115,94600,4950,25.4,5.8,3150,396,6.68,8.43,3510,606,9,19
FALSE,600×250,SH-600x250x12x16x13,600,250,12,16,13,149.6,117,87700,4180,24.2,5.28,2920,334,6.41,9.61,3340,522,12,16
FALSE,600×250,SH-600x250x12x19x13,600,250,12,19,13,163.9,129,99100,4960,24.6,5.5,3300,397,6.54,8.26,3750,615,12,19
FALSE,600×250,SH-600x250x12x22x13,600,250,12,22,13,178.2,140,110000,5740,24.9,5.68,3670,459,6.64,7.24,4150,709,12,22
FALSE,600×250,SH-600x250x12x25x13,600,250,12,25,13,192.5,151,121000,6520,25.1,5.82,4040,522,6.72,6.45,4540,802,12,25
FALSE,600×250,SH-600x250x12x28x13,600,250,12,28,13,206.7,162,132000,7300,25.2,5.94,4390,584,6.78,5.81,4930,896,12,28
FALSE,600×250,SH-600x250x14x19x13,600,250,14,19,13,175.1,137,102000,4960,24.1,5.32,3400,397,6.45,8.14,3910,623,14,19
TRUE,600×250,SH-600x250x14x22x13,600,250,14,22,13,189.3,149,113000,5740,24.4,5.51,3770,459,6.56,7.16,4300,716,14,22
TRUE,600×250,SH-600x250x14x25x13,600,250,14,25,13,203.5,160,124000,6520,24.7,5.66,4130,522,6.65,6.38,4690,810,14,25
TRUE,600×250,SH-600x250x14x28x13,600,250,14,28,13,217.6,171,134000,7310,24.9,5.79,4480,584,6.72,5.76,5080,903,14,28
TRUE,600×250,SH-600x250x16x22x13,600,250,16,22,13,200.4,157,116000,5750,24.1,5.36,3860,460,6.48,7.07,4460,725,16,22
FALSE,600×250,SH-600x250x16x25x13,600,250,16,25,13,214.5,168,127000,6530,24.3,5.52,4220,522,6.58,6.32,4840,818,16,25
FALSE,600×250,SH-600x250x16x28x13,600,250,16,28,13,228.5,179,137000,7310,24.5,5.66,4570,585,6.66,5.71,5230,911,16,28
FALSE,600×250,SH-600x250x16x32x13,600,250,16,32,13,247.2,194,151000,8350,24.7,5.81,5020,668,6.75,5.06,5730,1040,16,32
FALSE,600×300,SH-600x300x9x19x13,600,300,9,19,13,166,130,111000,8550,25.8,7.18,3690,570,8.11,8.54,4060,867,9,19
FALSE,600×300,SH-600x300x12x16x13,600,300,12,16,13,165.6,130,101000,7210,24.7,6.6,3380,481,7.83,9.78,3810,742,12,16
FALSE,600×300,SH-600x300x12x19x13,600,300,12,19,13,182.9,144,115000,8560,25.1,6.84,3840,571,7.96,8.38,4300,877,12,19
FALSE,600×300,SH-600x300x12x22x13,600,300,12,22,13,200.2,157,129000,9910,25.3,7.04,4290,661,8.07,7.33,4780,1010,12,22
FALSE,600×300,SH-600x300x12x25x13,600,300,12,25,13,217.5,171,142000,11300,25.5,7.2,4730,751,8.15,6.52,5260,1150,12,25
FALSE,600×300,SH-600x300x12x28x13,600,300,12,28,13,234.7,184,155000,12600,25.7,7.33,5160,841,8.22,5.87,5730,1280,12,28
FALSE,600×300,SH-600x300x14x19x13,600,300,14,19,13,194.1,152,118000,8560,24.7,6.64,3940,571,7.87,8.28,4460,884,14,19
FALSE,600×300,SH-600x300x14x22x13,600,300,14,22,13,211.3,166,131000,9910,24.9,6.85,4380,661,7.99,7.26,4940,1020,14,22
FALSE,600×300,SH-600x300x14x25x13,600,300,14,25,13,228.5,179,145000,11300,25.2,7.02,4820,751,8.08,6.46,5410,1150,14,25
FALSE,600×300,SH-600x300x14x28x13,600,300,14,28,13,245.6,193,157000,12600,25.3,7.17,5250,841,8.15,5.82,5880,1290,14,28
FALSE,600×300,SH-600x300x14x32x13,600,300,14,32,13,268.5,211,174000,14400,25.5,7.33,5800,961,8.23,5.15,6500,1470,14,32
FALSE,600×300,SH-600x300x16x22x13,600,300,16,22,13,222.4,175,134000,9920,24.6,6.68,4480,661,7.91,7.19,5090,1030,16,22
FALSE,600×300,SH-600x300x16x25x13,600,300,16,25,13,239.5,188,147000,11300,24.8,6.86,4910,751,8.01,6.41,5560,1160,16,25
FALSE,600×300,SH-600x300x16x28x13,600,300,16,28,13,256.5,201,160000,12600,25,7.01,5330,841,8.09,5.78,6030,1300,16,28
FALSE,600×300,SH-600x300x16x32x13,600,300,16,32,13,279.2,219,177000,14400,25.1,7.19,5890,961,8.18,5.11,6640,1480,16,32
FALSE,650×200,SH-650x200x9x12x13,650,200,9,12,13,105.8,83.1,68600,1600,25.5,3.89,2110,160,4.9,13.3,2460,254,9,12
FALSE,650×200,SH-650x200x9x16x13,650,200,9,16,13,121.1,95.1,83400,2140,26.2,4.2,2570,214,5.1,10.4,2930,334,9,16
FALSE,650×200,SH-650x200x9x19x13,650,200,9,19,13,132.5,104,94200,2540,26.7,4.38,2900,254,5.21,8.91,3280,393,9,19
FALSE,650×200,SH-650x200x9x22x13,650,200,9,22,13,144,113,105000,2940,27,4.52,3220,294,5.29,7.81,3630,453,9,22
FALSE,650×200,SH-650x200x12x16x13,650,200,12,16,13,139.6,110,89300,2140,25.3,3.92,2750,214,4.94,10,3220,344,12,16
FALSE,650×200,SH-650x200x12x19x13,650,200,12,19,13,150.9,118,99900,2540,25.7,4.11,3070,254,5.07,8.66,3570,403,12,19
FALSE,650×200,SH-650x200x12x22x13,650,200,12,22,13,162.2,127,110000,2940,26.1,4.26,3400,294,5.16,7.63,3910,463,12,22
FALSE,650×200,SH-650x200x12x25x13,650,200,12,25,13,173.5,136,121000,3340,26.4,4.39,3710,334,5.24,6.81,4250,523,12,25
FALSE,650×200,SH-650x200x12x28x13,650,200,12,28,13,184.7,145,131000,3740,26.6,4.5,4020,374,5.31,6.16,4580,583,12,28
FALSE,650×250,SH-650x250x9x16x13,650,250,9,16,13,137.1,108,99500,4170,26.9,5.52,3060,334,6.52,10.6,3440,514,9,16
FALSE,650×250,SH-650x250x12x16x13,650,250,12,16,13,155.6,122,105000,4180,26,5.18,3240,334,6.34,10.3,3730,524,12,16
FALSE,650×250,SH-650x250x12x19x13,650,250,12,19,13,169.9,133,119000,4960,26.4,5.4,3660,397,6.48,8.87,4160,617,12,19
FALSE,650×250,SH-650x250x12x22x13,650,250,12,22,13,184.2,145,132000,5740,26.8,5.58,4060,459,6.59,7.78,4600,711,12,22
FALSE,650×250,SH-650x250x12x25x13,650,250,12,25,13,198.5,156,145000,6520,27,5.73,4460,522,6.67,6.94,5030,804,12,25
FALSE,650×250,SH-650x250x12x28x13,650,250,12,28,13,212.7,167,158000,7300,27.2,5.86,4850,584,6.74,6.26,5460,898,12,28
TRUE,650×250,SH-650x250x14x19x13,650,250,14,19,13,182.1,143,123000,4960,26,5.22,3770,397,6.39,8.74,4350,625,14,19
FALSE,650×250,SH-650x250x14x22x13,650,250,14,22,13,196.3,154,136000,5740,26.3,5.41,4180,460,6.5,7.68,4780,719,14,22
FALSE,650×250,SH-650x250x14x25x13,650,250,14,25,13,210.5,165,149000,6530,26.6,5.57,4570,522,6.6,6.86,5210,812,14,25
TRUE,650×250,SH-650x250x14x28x13,650,250,14,28,13,224.6,176,161000,7310,26.8,5.7,4960,585,6.67,6.19,5630,906,14,28
FALSE,650×250,SH-650x250x16x22x13,650,250,16,22,13,208.4,164,139000,5750,25.9,5.25,4290,460,6.42,7.59,4970,728,16,22
FALSE,650×250,SH-650x250x16x25x13,650,250,16,25,13,222.5,175,152000,6530,26.2,5.42,4680,523,6.52,6.79,5390,821,16,25
FALSE,650×250,SH-650x250x16x28x13,650,250,16,28,13,236.5,186,165000,7310,26.4,5.56,5070,585,6.61,6.14,5810,915,16,28
FALSE,650×250,SH-650x250x16x32x13,650,250,16,32,13,255.2,200,181000,8360,26.6,5.72,5570,668,6.7,5.44,6360,1040,16,32
FALSE,650×300,SH-650x300x12x16x13,650,300,12,16,13,171.6,135,121000,7210,26.6,6.48,3740,481,7.76,10.5,4230,744,12,16
FALSE,650×300,SH-650x300x12x19x13,650,300,12,19,13,188.9,148,138000,8560,27,6.73,4240,571,7.9,9.01,4760,878,12,19
FALSE,650×300,SH-650x300x12x22x13,650,300,12,22,13,206.2,162,154000,9910,27.3,6.93,4730,661,8.01,7.89,5290,1010,12,22
FALSE,650×300,SH-650x300x12x25x13,650,300,12,25,13,223.5,175,169000,11300,27.5,7.1,5210,751,8.1,7.02,5810,1150,12,25
TRUE,650×300,SH-650x300x14x19x13,650,300,14,19,13,201.1,158,142000,8570,26.5,6.53,4360,571,7.8,8.9,4950,886,14,19
TRUE,650×300,SH-650x300x14x22x13,650,300,14,22,13,218.3,171,157000,9920,26.9,6.74,4850,661,7.93,7.81,5470,1020,14,22
TRUE,650×300,SH-650x300x14x25x13,650,300,14,25,13,235.5,185,173000,11300,27.1,6.92,5320,751,8.02,6.95,5990,1160,14,25
FALSE,650×300,SH-650x300x14x28x13,650,300,14,28,13,252.6,198,188000,12600,27.3,7.07,5790,841,8.1,6.27,6500,1290,14,28
FALSE,650×300,SH-650x300x16x22x13,650,300,16,22,13,230.4,181,161000,9920,26.4,6.56,4960,661,7.84,7.72,5660,1030,16,22
FALSE,650×300,SH-650x300x16x25x13,650,300,16,25,13,247.5,194,177000,11300,26.7,6.75,5440,751,7.95,6.89,6170,1160,16,25
FALSE,650×300,SH-650x300x16x28x13,650,300,16,28,13,264.5,208,192000,12600,26.9,6.91,5900,841,8.04,6.22,6680,1300,16,28
FALSE,650×300,SH-650x300x16x32x13,650,300,16,32,13,287.2,225,212000,14400,27.1,7.09,6510,961,8.13,5.51,7350,1480,16,32
FALSE,700×200,SH-700x200x9x12x18,700,200,9,12,18,111.6,87.6,83100,1610,27.3,3.79,2370,161,4.8,14,2770,256,9,12
FALSE,700×200,SH-700x200x9x16x18,700,200,9,16,18,126.9,99.6,100000,2140,28.1,4.11,2860,214,5.02,11,3280,336,9,16
FALSE,700×200,SH-700x200x9x19x18,700,200,9,19,18,138.4,109,113000,2540,28.6,4.28,3220,254,5.13,9.45,3660,396,9,19
FALSE,700×200,SH-700x200x9x22x18,700,200,9,22,18,149.8,118,125000,2940,28.9,4.43,3580,294,5.22,8.3,4040,456,9,22
FALSE,700×200,SH-700x200x12x16x18,700,200,12,16,18,146.9,115,108000,2150,27.1,3.82,3080,215,4.85,10.6,3620,347,12,16
FALSE,700×200,SH-700x200x12x19x18,700,200,12,19,18,158.2,124,120000,2550,27.6,4.01,3430,255,4.98,9.18,3990,407,12,19
FALSE,700×200,SH-700x200x12x22x18,700,200,12,22,18,169.5,133,132000,2950,27.9,4.17,3780,295,5.09,8.1,4360,466,12,22
FALSE,700×200,SH-700x200x12x25x18,700,200,12,25,18,180.8,142,144000,3350,28.3,4.3,4120,335,5.17,7.24,4730,526,12,25
FALSE,700×200,SH-700x200x12x28x18,700,200,12,28,18,192.1,151,156000,3750,28.5,4.42,4460,375,5.24,6.55,5100,586,12,28
FALSE,700×250,SH-700x250x9x16x18,700,250,9,16,18,142.9,112,119000,4170,28.9,5.4,3400,334,6.43,11.3,3830,516,9,16
FALSE,700×250,SH-700x250x9x19x18,700,250,9,19,18,157.4,124,135000,4950,29.3,5.61,3850,396,6.55,9.65,4310,610,9,19
FALSE,700×250,SH-700x250x12x16x18,700,250,12,16,18,162.9,128,126000,4180,27.9,5.06,3610,334,6.25,10.9,4170,527,12,16
FALSE,700×250,SH-700x250x12x19x18,700,250,12,19,18,177.2,139,142000,4960,28.3,5.29,4060,397,6.39,9.42,4640,620,12,19
FALSE,700×250,SH-700x250x12x22x18,700,250,12,22,18,191.5,150,158000,5740,28.7,5.48,4500,459,6.51,8.28,5110,714,12,22
FALSE,700×250,SH-700x250x12x25x18,700,250,12,25,18,205.8,162,173000,6520,29,5.63,4940,522,6.6,7.39,5580,807,12,25
FALSE,700×250,SH-700x250x14x19x18,700,250,14,19,18,190.5,150,147000,4970,27.8,5.11,4200,397,6.29,9.27,4860,629,14,19
FALSE,700×250,SH-700x250x14x22x18,700,250,14,22,18,204.6,161,162000,5750,28.2,5.3,4640,460,6.42,8.17,5330,723,14,22
FALSE,700×250,SH-700x250x14x25x18,700,250,14,25,18,218.8,172,177000,6530,28.5,5.46,5070,522,6.52,7.3,5790,816,14,25
FALSE,700×250,SH-700x250x14x28x18,700,250,14,28,18,232.9,183,192000,7310,28.7,5.6,5490,585,6.6,6.6,6240,910,14,28
FALSE,700×300,SH-700x300x12x19x18,700,300,12,19,18,196.2,154,164000,8560,28.9,6.61,4690,571,7.81,9.59,5290,882,12,19
FALSE,700×300,SH-700x300x12x22x18,700,300,12,22,18,213.5,168,183000,9910,29.3,6.81,5230,661,7.93,8.41,5860,1020,12,22
FALSE,700×300,SH-700x300x12x25x18,700,300,12,25,18,230.8,181,201000,11300,29.5,6.99,5750,751,8.02,7.49,6420,1150,12,25
FALSE,700×300,SH-700x300x12x28x18,700,300,12,28,18,248.1,195,219000,12600,29.7,7.13,6270,841,8.1,6.75,6980,1290,12,28
FALSE,700×300,SH-700x300x14x19x18,700,300,14,19,18,209.5,164,169000,8570,28.4,6.4,4830,571,7.71,9.46,5510,891,14,19
FALSE,700×300,SH-700x300x14x22x18,700,300,14,22,18,226.6,178,188000,9920,28.8,6.62,5360,661,7.84,8.31,6070,1030,14,22
FALSE,700×300,SH-700x300x14x25x18,700,300,14,25,18,243.8,191,206000,11300,29.1,6.8,5880,751,7.94,7.41,6630,1160,14,25
FALSE,700×300,SH-700x300x14x28x18,700,300,14,28,18,260.9,205,224000,12600,29.3,6.95,6390,841,8.03,6.69,7180,1290,14,28
FALSE,700×300,SH-700x300x14x32x18,700,300,14,32,18,283.8,223,247000,14400,29.5,7.13,7060,961,8.12,5.92,7920,1470,14,32
FALSE,700×300,SH-700x300x16x22x18,700,300,16,22,18,239.7,188,192000,9930,28.3,6.43,5490,662,7.75,8.22,6290,1040,16,22
FALSE,700×300,SH-700x300x16x25x18,700,300,16,25,18,256.8,202,210000,11300,28.6,6.63,6010,752,7.86,7.34,6840,1170,16,25
FALSE,700×300,SH-700x300x16x28x18,700,300,16,28,18,273.8,215,228000,12600,28.9,6.79,6520,842,7.96,6.63,7390,1300,16,28
FALSE,700×300,SH-700x300x16x32x18,700,300,16,32,18,296.5,233,251000,14400,29.1,6.97,7180,962,8.06,5.88,8120,1480,16,32
FALSE,700×300,SH-700x300x16x36x18,700,300,16,36,18,319.3,251,274000,16200,29.3,7.13,7830,1080,8.14,5.28,8830,1660,16,36
FALSE,700×350,SH-700x350x12x22x18,700,350,12,22,18,235.5,185,208000,15700,29.7,8.17,5950,899,9.36,8.51,6600,1370,12,22
FALSE,700×350,SH-700x350x12x25x18,700,350,12,25,18,255.8,201,230000,17900,30,8.36,6560,1020,9.46,7.57,7260,1560,12,25
FALSE,700×350,SH-700x350x14x22x18,700,350,14,22,18,248.6,195,213000,15700,29.3,7.96,6080,899,9.26,8.42,6820,1380,14,22
FALSE,700×350,SH-700x350x14x25x18,700,350,14,25,18,268.8,211,234000,17900,29.5,8.16,6700,1020,9.37,7.5,7470,1570,14,25
FALSE,700×350,SH-700x350x14x28x18,700,350,14,28,18,288.9,227,255000,20000,29.7,8.33,7300,1140,9.46,6.76,8130,1750,14,28
FALSE,700×350,SH-700x350x14x32x18,700,350,14,32,18,315.8,248,283000,22900,29.9,8.51,8080,1310,9.56,5.97,8980,1990,14,32
FALSE,700×350,SH-700x350x16x25x18,700,350,16,25,18,281.8,221,239000,17900,29.1,7.97,6830,1020,9.29,7.43,7690,1580,16,25
FALSE,700×350,SH-700x350x16x28x18,700,350,16,28,18,301.8,237,260000,20000,29.3,8.15,7420,1140,9.39,6.71,8330,1760,16,28
FALSE,700×350,SH-700x350x16x32x18,700,350,16,32,18,328.5,258,287000,22900,29.6,8.35,8200,1310,9.49,5.93,9190,2000,16,32
FALSE,700×350,SH-700x350x16x36x18,700,350,16,36,18,355.3,279,314000,25800,18.3,8.51,8960,1470,9.58,5.32,10000,2250,16,36
FALSE,750×250,SH-750x250x12x16x18,750,250,12,16,18,168.9,133,148000,4180,29.6,4.97,3950,334,6.19,11.6,4580,529,12,16
FALSE,750×250,SH-750x250x12x19x18,750,250,12,19,18,183.2,144,166000,4960,30.1,5.2,4440,397,6.34,10,5090,622,12,19
FALSE,750×250,SH-750x250x12x22x18,750,250,12,22,18,197.5,155,184000,5740,30.6,5.39,4920,459,6.46,8.81,5600,716,12,22
FALSE,750×250,SH-750x250x12x25x18,750,250,12,25,18,211.8,166,202000,6520,30.9,5.55,5390,522,6.55,7.86,6100,809,12,25
TRUE,750×250,SH-750x250x14x19x18,750,250,14,19,18,197.5,155,172000,4970,29.6,5.02,4600,397,6.24,9.85,5340,632,14,19
FALSE,750×250,SH-750x250x14x22x18,750,250,14,22,18,211.6,166,190000,5750,30,5.21,5070,460,6.37,8.68,5850,725,14,22
FALSE,750×250,SH-750x250x14x25x18,750,250,14,25,18,225.8,177,208000,6530,30.3,5.38,5540,522,6.47,7.76,6340,819,14,25
FALSE,750×250,SH-750x250x14x28x18,750,250,14,28,18,239.9,188,225000,7310,30.6,5.52,5990,585,6.55,7.02,6840,912,14,28
FALSE,750×300,SH-750x300x14x19x18,750,300,14,19,18,216.5,170,198000,8570,30.2,6.29,5280,571,7.64,10.1,6040,893,14,19
FALSE,750×300,SH-750x300x14x22x18,750,300,14,22,18,233.6,183,219000,9920,30.6,6.52,5850,661,7.78,8.84,6650,1030,14,22
FALSE,750×300,SH-750x300x14x25x18,750,300,14,25,18,250.8,197,241000,11300,31,6.7,6410,751,7.89,7.89,7250,1160,14,25
FALSE,750×300,SH-750x300x14x28x18,750,300,14,28,18,267.9,210,261000,12600,31.2,6.86,6970,841,7.98,7.13,7850,1300,14,28
FALSE,750×300,SH-750x300x16x22x18,750,300,16,22,18,247.7,194,225000,9930,30.2,6.33,6010,662,7.69,8.74,6900,1040,16,22
FALSE,750×300,SH-750x300x16x25x18,750,300,16,25,18,264.8,208,246000,11300,30.5,6.53,6570,752,7.81,7.81,7490,1170,16,25
FALSE,750×300,SH-750x300x16x28x18,750,300,16,28,18,281.8,221,267000,12600,30.8,6.69,7120,842,7.9,7.06,8090,1310,16,28
FALSE,750×300,SH-750x300x16x32x18,750,300,16,32,18,304.5,239,294000,14400,31.1,6.88,7840,962,8.01,6.26,8870,1490,16,32
TRUE,750×350,SH-750x350x14x22x18,750,350,14,22,18,255.6,201,249000,15700,31.2,7.85,6630,899,9.21,8.97,7450,1390,14,22
FALSE,750×350,SH-750x350x14x25x18,750,350,14,25,18,275.8,217,273000,17900,31.5,8.05,7290,1020,9.32,7.99,8150,1570,14,25
FALSE,750×350,SH-750x350x14x28x18,750,350,14,28,18,295.9,232,298000,20000,31.7,8.23,7940,1140,9.41,7.2,8860,1750,14,28
FALSE,750×350,SH-750x350x14x32x18,750,350,14,32,18,322.8,253,330000,22900,32,8.42,8790,1310,9.51,6.37,9780,2000,14,32
FALSE,750×350,SH-750x350x16x25x18,750,350,16,25,18,289.8,227,279000,17900,31,7.86,7440,1020,9.23,7.91,8400,1580,16,25
FALSE,750×350,SH-750x350x16x28x18,750,350,16,28,18,309.8,243,303000,20000,31.3,8.04,8090,1140,9.33,7.14,9100,1760,16,28
FALSE,750×350,SH-750x350x16x32x18,750,350,16,32,18,336.5,264,335000,22900,31.6,8.25,8940,1310,9.44,6.32,10000,2010,16,32
FALSE,750×350,SH-750x350x16x36x18,750,350,16,36,18,363.3,285,366000,25800,31.7,8.42,9760,1470,9.53,5.67,10900,2250,16,36
FALSE,800×250,SH-800x250x14x22x18,800,250,14,22,18,218.6,172,221000,5750,31.8,5.13,5520,460,6.31,9.18,6380,728,14,22
FALSE,800×250,SH-800x250x14x25x18,800,250,14,25,18,232.8,183,241000,6530,32.2,5.3,6020,523,6.42,8.22,6920,821,14,25
FALSE,800×250,SH-800x250x14x28x18,800,250,14,28,18,246.9,194,260000,7310,32.5,5.44,6510,585,6.51,7.44,7440,915,14,28
FALSE,800×250,SH-800x250x16x22x18,800,250,16,22,18,233.7,183,228000,5760,31.2,4.96,5700,461,6.22,9.05,6670,739,16,22
FALSE,800×250,SH-800x250x16x25x18,800,250,16,25,18,247.8,195,248000,6540,31.6,5.14,6200,523,6.34,8.11,7200,833,16,25
FALSE,800×250,SH-800x250x16x28x18,800,250,16,28,18,261.8,206,267000,7320,32,5.29,6680,586,6.43,7.35,7720,926,16,28
FALSE,800×250,SH-800x250x16x32x18,800,250,16,32,18,280.5,220,293000,8360,32.3,5.46,7320,669,6.54,6.54,8410,1050,16,32
FALSE,800×300,SH-800x300x14x22x18,800,300,14,22,18,240.6,189,254000,9920,32.5,6.42,6350,661,7.73,9.37,7240,1030,14,22
FALSE,800×300,SH-800x300x14x25x18,800,300,14,25,18,257.8,202,278000,11300,32.9,6.61,6960,751,7.84,8.36,7880,1160,14,25
FALSE,800×300,SH-800x300x14x28x18,800,300,14,28,18,274.9,216,302000,12600,33.2,6.78,7560,841,7.93,7.56,8520,1300,14,28
FALSE,800×300,SH-800x300x14x32x18,800,300,14,32,18,297.8,234,333000,14400,33.5,6.96,8340,961,8.04,6.7,9370,1480,14,32
FALSE,800×300,SH-800x300x16x22x18,800,300,16,22,18,255.7,201,261000,9930,32,6.23,6530,662,7.63,9.24,7520,1040,16,22
FALSE,800×300,SH-800x300x16x25x18,800,300,16,25,18,272.8,214,285000,11300,32.3,6.43,7130,752,7.75,8.27,8170,1180,16,25
FALSE,800×300,SH-800x300x16x28x18,800,300,16,28,18,289.8,227,309000,12600,32.7,6.6,7730,842,7.85,7.48,8800,1310,16,28
FALSE,800×300,SH-800x300x16x32x18,800,300,16,32,18,312.5,245,340000,14400,33,6.79,8500,962,7.96,6.64,9640,1490,16,32
FALSE,800×300,SH-800x300x16x36x18,800,300,16,36,18,335.3,263,370000,16200,33.2,6.96,9260,1080,8.05,5.97,10500,1670,16,36
FALSE,800×350,SH-800x350x14x25x18,800,350,14,25,18,282.8,222,316000,17900,33.4,7.95,7900,1020,9.27,8.47,8850,1570,14,25
FALSE,800×350,SH-800x350x14x28x18,800,350,14,28,18,302.9,238,344000,20000,33.7,8.13,8600,1140,9.36,7.64,9610,1750,14,28
FALSE,800×350,SH-800x350x16x25x18,800,350,16,25,18,297.8,234,323000,17900,32.9,7.75,8070,1020,9.17,8.39,9130,1580,16,25
FALSE,800×350,SH-800x350x16x28x18,800,350,16,28,18,317.8,249,351000,20000,33.2,7.94,8770,1150,9.28,7.58,9880,1770,16,28
FALSE,800×350,SH-800x350x16x32x18,800,350,16,32,18,344.5,270,387000,22900,33.5,8.15,9680,1310,9.39,6.71,10900,2010,16,32
FALSE,800×350,SH-800x350x16x36x18,800,350,16,36,18,371.3,291,423000,25800,33.8,8.33,10600,1470,9.49,6.02,11800,2250,16,36
FALSE,800×350,SH-800x350x19x25x18,800,350,19,25,18,320.3,251,333000,17900,32.3,7.48,8340,1020,9.04,8.26,9560,1600,19,25
FALSE,800×350,SH-800x350x19x28x18,800,350,19,28,18,340.1,267,361000,20100,32.6,7.68,9030,1150,9.16,7.48,10300,1790,19,28
FALSE,800×350,SH-800x350x19x32x18,800,350,19,32,18,366.6,288,397000,22900,32.9,7.91,9930,1310,9.29,6.63,11300,2030,19,32
FALSE,800×350,SH-800x350x19x36x18,800,350,19,36,18,393.1,309,433000,25800,33.2,8.1,10800,1470,9.39,5.96,12200,2270,19,36
FALSE,800×350,SH-800x350x19x40x18,800,350,19,40,18,419.6,329,467000,28600,33.4,8.26,11700,1640,9.48,5.42,13200,2520,19,40
TRUE,800×400,SH-800x400x14x25x18,800,400,14,25,18,307.8,242,353000,26700,33.9,9.31,8840,1330,10.7,8.56,9820,2040,14,25
TRUE,800×400,SH-800x400x14x28x18,800,400,14,28,18,330.9,260,386000,29900,34.1,9.5,9640,1490,10.8,7.71,10700,2280,14,28
TRUE,800×400,SH-800x400x16x25x18,800,400,16,25,18,322.8,253,360000,26700,33.4,9.09,9010,1330,10.6,8.48,10100,2050,16,25
TRUE,800×400,SH-800x400x16x28x18,800,400,16,28,18,345.8,271,393000,29900,33.7,9.3,9810,1490,10.7,7.65,11000,2290,16,28
TRUE,800×400,SH-800x400x16x32x18,800,400,16,32,18,376.5,296,435000,34200,34,9.53,10900,1710,10.8,6.77,12100,2610,16,32
TRUE,800×400,SH-800x400x16x36x18,800,400,16,36,18,407.3,320,476000,38400,34.2,9.71,11900,1920,10.9,6.07,13200,2930,16,36
TRUE,800×400,SH-800x400x19x28x18,800,400,19,28,18,368.1,289,403000,29900,33.1,9.01,10100,1500,10.6,7.56,11400,2310,19,28
TRUE,800×400,SH-800x400x19x32x18,800,400,19,32,18,398.6,313,445000,34200,33.4,9.26,11100,1710,10.7,6.7,12500,2630,19,32
TRUE,800×400,SH-800x400x19x36x18,800,400,19,36,18,429.1,337,485000,38400,33.6,9.47,12100,1920,10.8,6.01,13600,2950,19,36
TRUE,800×400,SH-800x400x19x40x18,800,400,19,40,18,459.6,361,525000,42700,33.8,9.64,13100,2140,10.9,5.46,14700,3270,19,40
FALSE,850×250,SH-850x250x14x22x18,850,250,14,22,18,225.6,177,254000,5750,33.6,5.05,5980,460,6.26,9.68,6940,730,14,22
FALSE,850×250,SH-850x250x14x25x18,850,250,14,25,18,239.8,188,277000,6530,34,5.22,6510,523,6.37,8.67,7510,824,14,25
TRUE,850×250,SH-850x250x14x28x18,850,250,14,28,18,253.9,199,299000,7310,34.3,5.37,7040,585,6.47,7.85,8070,917,14,28
FALSE,850×250,SH-850x250x16x22x18,850,250,16,22,18,241.7,190,263000,5760,33,4.88,6180,461,6.16,9.53,7260,742,16,22
FALSE,850×250,SH-850x250x16x25x18,850,250,16,25,18,255.8,201,285000,6540,33.4,5.06,6720,523,6.29,8.55,7830,836,16,25
FALSE,850×250,SH-850x250x16x28x18,850,250,16,28,18,269.8,212,308000,7320,33.8,5.21,7240,586,6.38,7.75,8390,929,16,28
TRUE,850×250,SH-850x250x16x32x18,850,250,16,32,18,288.5,226,337000,8360,34.2,5.38,7920,669,6.49,6.9,9120,1050,16,32
TRUE,850×300,SH-850x300x14x22x18,850,300,14,22,18,247.6,194,292000,9920,34.3,6.33,6870,661,7.67,9.88,7850,1030,14,22
TRUE,850×300,SH-850x300x14x25x18,850,300,14,25,18,264.8,208,319000,11300,34.7,6.52,7520,751,7.79,8.83,8540,1170,14,25
TRUE,850×300,SH-850x300x14x28x18,850,300,14,28,18,281.9,221,347000,12600,35.1,6.69,8160,841,7.89,7.98,9220,1300,14,28
FALSE,850×300,SH-850x300x16x22x18,850,300,16,22,18,263.7,207,301000,9930,33.8,6.14,7070,662,7.57,9.75,8170,1040,16,22
FALSE,850×300,SH-850x300x16x25x18,850,300,16,25,18,280.8,220,328000,11300,34.2,6.34,7720,752,7.7,8.72,8860,1180,16,25
FALSE,850×300,SH-850x300x16x28x18,850,300,16,28,18,297.8,234,355000,12600,34.5,6.51,8350,842,7.8,7.9,9540,1310,16,28
FALSE,850×300,SH-850x300x16x32x18,850,300,16,32,18,320.5,252,390000,14400,34.9,6.71,9180,962,7.92,7.01,10400,1490,16,32
TRUE,850×350,SH-850x350x16x25x18,850,350,16,25,18,305.8,240,370000,17900,34.8,7.65,8720,1020,9.12,8.86,9890,1590,16,25
TRUE,850×350,SH-850x350x16x28x18,850,350,16,28,18,325.8,256,402000,20000,35.1,7.84,9460,1150,9.23,8,10700,1770,16,28
TRUE,850×350,SH-850x350x16x32x18,850,350,16,32,18,352.5,277,444000,22900,35.5,8.06,10400,1310,9.35,7.09,11700,2010,16,32
TRUE,850×350,SH-850x350x19x28x18,850,350,19,28,18,349.6,274,415000,20100,34.4,7.57,9760,1150,9.1,7.89,11200,1790,19,28
