*,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2
FALSE,450×300,H-440x300x11x18x13,440,300,11,18,13,153.9,121,54700,8110,18.9,7.26,2490,540,8.16,6.65,2760,823,11,18
TRUE,450×300,H-446x302x13x21x13,446,302,13,21,13,180.8,142,65000,9650,19,7.31,2920,639,8.24,5.79,3250,976,13,21
FALSE,500×300,H-482x300x11x15x13,482,300,11,15,13,141.2,111,58300,6760,20.3,6.92,2420,450,7.99,8.56,2700,690,11,15
FALSE,500×300,H-488x300x11x18x13,488,300,11,18,13,159.2,125,68900,8110,20.8,7.14,2820,540,8.1,7.32,3130,825,11,18
TRUE,500×300,H-494x302x13x21x13,494,302,13,21,13,187.1,147,81700,9650,20.9,7.18,3310,639,8.18,6.37,3700,978,13,21
FALSE,600×300,H-582x300x12x17x13,582,300,12,17,13,169.2,133,98900,7660,24.2,6.73,3400,511,7.9,9.01,3820,786,12,17
FALSE,600×300,H-588x300x12x20x13,588,300,12,20,13,187.2,147,114000,9010,24.7,6.94,3890,601,8.01,7.85,4350,921,12,20
TRUE,600×300,H-594x302x14x23x13,594,302,14,23,13,217.1,170,134000,10600,24.8,6.98,4500,700,8.08,6.91,5060,1080,14,23
FALSE,700×300,H-692x300x13x20x18,692,300,13,20,18,207.5,163,168000,9020,28.5,6.59,4870,601,7.81,9.01,5500,930,13,20
FALSE,700×300,H-700x300x13x24x18,700,300,13,24,18,231.5,182,197000,10800,29.2,6.83,5640,721,7.95,7.73,6340,1110,13,24
TRUE,700×300,H-708x302x15x28x18,708,302,15,28,18,269.7,212,233000,12900,29.4,6.91,6590,853,8.04,6.73,7430,1320,15,28
FALSE,800×300,H-792x300x14x22x18,792,300,14,22,18,239.5,188,248000,9920,32.2,6.44,6270,661,7.74,9.28,7140,1030,14,22
FALSE,800×300,H-800x300x14x26x18,800,300,14,26,18,263.5,207,286000,11700,33,6.67,7160,781,7.87,8.08,8100,1210,14,26
TRUE,800×300,H-808x302x16x30x18,808,302,16,30,18,303.7,238,334000,13800,33.2,6.74,8270,914,7.96,7.1,9390,1420,16,30
TRUE,800×300,H-816x303x17x34x18,816,303,17,34,18,336,264,378000,15800,33.6,6.86,9270,1040,8.05,6.38,10500,1620,17,34
FALSE,900×300,H-890x299x15x23x18,890,299,15,23,18,266.9,210,339000,10300,35.6,6.2,7610,687,7.59,9.83,8750,1080,15,23
FALSE,900×300,H-900x300x16x28x18,900,300,16,28,18,305.8,240,404000,12600,36.4,6.43,8990,842,7.75,8.31,10300,1320,16,28
TRUE,900×300,H-912x302x18x34x18,912,302,18,34,18,360.1,283,491000,15700,36.9,6.59,10800,1040,7.9,7.01,12300,1620,18,34
TRUE,900×300,H-918x303x19x37x18,918,303,19,37,18,387.4,304,535000,17200,37.2,6.67,11700,1140,7.96,6.52,13400,1780,19,37
FALSE,150×75,H-150x75x5x7x8,150,75,5,7,8,17.85,14,666,49.5,6.11,1.66,88.8,13.2,1.96,5.6,102,20.8,5,7
FALSE,175×90,H-175x90x5x8x8,175,90,5,8,8,22.9,18,1210,97.5,7.26,2.06,138,21.7,2.39,5.81,156,33.6,5,8
FALSE,200×100,H-198x99x4.5x7x8,198,99,4.5,7,8,22.69,17.8,1540,113,8.25,2.24,156,22.9,2.6,7.43,175,35.5,4.5,7
FALSE,200×100,H-200x100x5.5x8x8,200,100,5.5,8,8,26.67,20.9,1810,134,8.23,2.24,181,26.7,2.63,6.57,205,41.6,5.5,8
